coreid,materialSampleID,sampleType,catalogNumber,sampleCondition,disposition,preservationType,preparationDetails,preparationDate,preparedBy,individualCount,sampleSize,storageLocation,remarks,recordID,concentration,concentrationMethod,ratioOfAbsorbance260_230,ratioOfAbsorbance260_280,volume,weight,weightMethod,purificationMethod,quality,qualityRemarks,qualityCheckDate,sieving,dnaHybridization,dnaMeltingPoint,estimatedSize,poolDnaExtracts,sampleDesignation
272912,,"skin, study",B00000026068,good,"in collection",dry,,2023-06-21,"Steger, Laura",,,,"slight damage to skin on side due to mouse trap",
272912,,skull,B00000026068,good,"in collection",dry,,2023-08-08,"Liao, Rosie",,,,,
272912,,"kidney, spleen",D00000190474,good,"in collection","flash-frozen, stored at -196C","kidney (left, right)",2023-06-21,"Steger, Laura",,,,,
272912,,"heart, lung",D00000190473,good,"in collection","flash-frozen, stored at -196C",,2023-06-21,"Steger, Laura",,,,,
272912,,liver,D00000188903,good,"in collection","flash-frozen, stored at -196C",,2023-06-21,"Steger, Laura",,,,,
272912,,"gastrointestinal tract",C00000121432,good,"in collection","frozen, -20C","upper and lower GI tract",2023-06-21,"Steger, Laura",,,,,
277322,,skull,D00000043757,unchecked,"in collection",dry,,2021-05-10,"Engasser, Emmy",,,,,
277322,,"post-cranial skeleton",D00000043757,unchecked,"in collection",dry,,2021-05-10,"Engasser, Emmy",,,,,
956923,,"skin, study",D00000049602,good,"in collection",dry,,2023-06-21,"Steger, Laura",,,,,
956923,,skull,D00000049602,good,"in collection",dry,,2023-08-08,"Liao, Rosie",,,,"with post-cranial skeleton",
956923,,"post-cranial skeleton",D00000049602,good,"in collection",dry,,2023-08-08,"Liao, Rosie",,,,"tail broken, left front limb disarticulated",
956923,,"kidney, spleen",D00000190464,good,"in collection","flash-frozen, stored at -196C","kidney (left, right)",2023-06-21,"Steger, Laura",,,,,
956923,,"heart, lung",D00000190810,good,"in collection","flash-frozen, stored at -196C",,2023-06-21,"Steger, Laura",,,,,
956923,,liver,D00000188851,good,"in collection","flash-frozen, stored at -196C",,2023-06-21,"Steger, Laura",,,,,
956923,,"gastrointestinal tract",C00000121119,good,"in collection","flash-frozen, stored at -80C","upper and lower GI tract",2023-06-21,"Steger, Laura",,,,,
956923,,baculum,D00000187631,unchecked,"in collection","ethanol, 95%",,2023-06-21,"Steger, Laura",,,,,
1116206,,"whole organism",C00000121570,good,"in collection","flash-frozen, stored at -80C","Liver removed.",2024-01-22,"Liao, Rosie",,,,,
1116206,,liver,D00000189113,good,"in collection","flash-frozen, stored at -196C",,2024-01-22,"Liao, Rosie",,,,,
